评论内容,是否好评,好评数,有趣票数,加权评分,情感反馈,回复长度,情感占比,标签
很棒的游戏 我感觉我的爆头率上涨的原因是只能爆头杀一个 然后就有100%爆头了,True,1,1,0.5238095521926879,7,2,6,幽默，爆头，自嘲
游戏是好游戏，能把优化和外挂问题解决掉才是真正的开始,True,1,0,0.5238095521926879,5,1,4,中肯，优化，外挂
游戏非常好玩，但有很多挂，至少不会太影响平衡，也求求各位点个赞，祝点赞的人父母安康，万事如意，枪皮数不完Please give it a like。Wish you everything goes fortune.Thanks very much!,True,1,0,0.5238095521926879,8,2,7,好评，外挂，祝福
啥比V社会不会做游戏？你更你牛魔呢，是不是修复了CS2玩家过多的bug？打着打着没声音我是拿你母听脚步呢？,False,1,0,0.5238095521926879,1,2,10,愤怒，更新，bug，抱怨
逆天你爹玩没30小时就红信了，从来没早退和TK，更别说开挂，什么rz信誉系统,False,1,0,0.5238095521926879,2,1,9,愤怒，红信，信誉系统
"CS2 is a mess now: case farming, AFK bots and exploiters are everywhere with almost no punishment; the kick system is completely abused to silence honest players; VAC is useless, cheaters and toxic players face no consequences while legit players get punished for not breaking rules.
Valve only cares about skins and case sales, not fair competition or player experience. This is no longer a competitive game—it’s a farming simulator + gambling casino. Do not buy if you want fair CS; only stay if you plan to farm, cheat or join the toxic crowd.",False,1,0,0.5238095521926879,2,3,8,愤怒，外挂，箱子，差评
目前来说我没有任何理由玩这个游戏，也许是出于热爱也许是为了战斗爽。但从目前的情况来看这游戏反外挂做的不行服务器也是一坨屎，不管是管匹还是第三方平台反作弊还是吞子弹又或者原地复活，总之我的游戏时长虽然不多但这款游戏已经让我有点失望了。（写评论的时候我都不知道该给好评还是差评）,True,1,0,0.5238095521926879,4,3,8,失望，矛盾，外挂，服务器
非常硬核的一款fps游戏，没有花里胡哨的技能，也没有充钱就可以变强的金钱歧视，在这里，技术才是真正属于实力的一部分,True,2,0,0.5238095521926879,9,2,5,好评，硬核，技术，公平
腰不疼了腿不酸了坐下就爱打手枪一打一整天{0m0},True,3,3,0.5238095521926879,8,1,6,快乐，幽默，成瘾
"CS2’s fair competitive experience is amazing. No pay-to-win, no overpowered skills—everything depends on your skill and teamwork.
Casual mode teammates were super nice and helped me learn the economy and pre-aim spots. I’m still pretty bad at aiming, but hitting good flashes and pulling off a clutch defuse felt so satisfying.",True,1,0,0.52173912525177,9,2,6,好评，公平，团队，学习
